"Munic_Id";"Munic_Nome";"UF_Sigla";"UF_Regiao";"year";"MunicOP_OP";"Adopt.pb";"Abandon.pb";"MayorName";"MayorElecNumber";"MayorParty";"ptwin";"ChangeEffect2002";"mindist";"VictoryPTAfter2002";"taxrevenues";"TransferDep";"balsheetrev";"MayorParty2";"ContinuityMayor";"continuitypartpref";"MayorsVulnerability";"legprefpower";"MayorControlCouncil";"YearDummies1996";"YearDummies2000";"YearDummies2004";"YearDummies2008";"YearDummies2012";"population";"GDP";"GDPpp";"Investpp";"InvestPer";"InvestTotal";"Budget";"BudgetPP";"FiscalSpace";"FiscalSpacePer";"DebtPer";"LeftParty";"lag.pb";"MunicOP_OP.Acum";"Capital"
1100122;"JI-PARANÁ";"RO";"N";1992;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
1100122;"JI-PARANÁ";"RO";"N";1996;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;102481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
1100122;"JI-PARANÁ";"RO";"N";2000;0;0;0;"ILDEMAR KUSSLER";"45";"PSDB";0;0;NA;0;0,0589377156190945;0,724487905726142;1,00183247322777;"PSDB";0;0;0,651214851214851;0;0;0;1;0;0;0;95356;319066,526736486;3,34605611326488;187,220600854577;0,19885290182336;17852607,615089;89777958,7393066;941,50298606597;1276453,45866667;0,0362813725688585;0,0232460780746041;0;0;0;0
1100122;"JI-PARANÁ";"RO";"N";2004;1;1;0;"ACIR MARCOS GURGACZ";"12";"PDT";0;1;0;0;0,0946892256330019;0,799099026489574;0,997115298611825;"PDT";0;0;0,582491122644086;0,0588235294117647;0;0;0;1;0;0;92728;512578,075;5,52775941463204;172,293089044521;0,178522239132437;15976393,5609204;89492455,6097922;965,107147892678;4090855,548;0,0879040357821191;0,0168043749527376;1;0;0;0
1100122;"JI-PARANÁ";"RO";"N";2008;0;0;1;"JOSÉ DE ABREU BIANCO";"25";"PFL";0;1;2,88438940048218;0;0,104042444951841;0,755336171816583;0,965729616790054;"DEM";0;0;0,851269272698957;0,0909090909090909;0;0;0;0;1;0;113441;582146,156078465;5,13170860692752;216,027098678859;0,150701441219923;24506330,1012285;162615101,108858;1433,47732397333;14564276,176;0,149859588604064;0,0186321214775397;0;1;1;0
1100122;"JI-PARANÁ";"RO";"N";2012;0;0;0;"JOSÉ DE ABREU BIANCO";"25";"DEM";0;1;2,88438940048218;0;0,139066178918409;0,758147418364074;0,913746100621903;"DEM";1;1;0,595468887688678;0,181818181818182;0;0;0;0;0;1;110707;711084,23899329;6,42311903486943;137,695627149576;0,0893949011221182;15243869,7948481;170522810,624559;1540,3073936116;9824067,5775;0,076827502797027;0,0196276937865068;0;0;0;0
1100205;"PORTO VELHO";"RO";"N";1992;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1
1100205;"PORTO VELHO";"RO";"N";1996;0;0;0;NA;NA;NA;NA;0;NA;NA;0,205438746300618;0,753482902980821;1,1135151886325;NA;NA;NA;NA;NA;NA;1;0;0;0;0;284576;NA;NA;54,569443260636;0,0863521533939758;15529153,8853388;179835166,524314;631,940734722233;NA;NA;NA;NA;0;0;1
1100205;"PORTO VELHO";"RO";"N";2000;0;0;0;"FRANCISCO JOSE CHIQUILITO COIMBRA ERSE";"12";"PDT";0;0;NA;0;0,147667688744455;0,526446847392442;1,0375609594458;"PDT";0;0;0,44809807201821;0;0;0;1;0;0;0;294227;1571930,14004593;5,34257610635982;49,5747403867347;0,0800204601525394;14586227,1397678;182281220,477397;619,52580992702;4342938,208;0,0403794990047587;0,0538065221753999;1;0;0;1
1100205;"PORTO VELHO";"RO";"N";2004;0;0;0;"CARLOS ALBERTO DE AZEVEDO CAMURÇA";"12";"PDT";0;1;2,88438940048218;0;0,136691846311765;0,730831402417977;0,959354862046395;"PDT";0;1;0,840648634367053;0,142857142857143;0;0;0;1;0;0;314525;1469893,044;4,67337427549479;152,611347856792;0,147446110607925;48000084,1846575;325543237,368226;1035,03135638892;14812423,5065;0,0850038264967634;0,0334221059244019;1;0;0;1
1100205;"PORTO VELHO";"RO";"N";2008;1;1;0;"ROBERTO EDUARDO SOBRINHO";"13";"PT";1;1;0;1;0,153004127859769;0,72486106632012;1,01372706892413;"PT";0;0;0,962885252838705;0,0625;0;0;0;0;1;0;380884;2119052,04625224;5,56351027150586;243,401499311735;0,139025268045941;92707736,6638508;666840912,928255;1750,77165994963;45069800,409;0,111883510199382;0,0289477339283799;1;0;0;1
1100205;"PORTO VELHO";"RO";"N";2012;1;0;0;"ROBERTO EDUARDO SOBRINHO";"13";"PT";1;1;0;1;0,276022179311391;0,523846986760576;0,96380438399637;"PT";1;1;0,310469073196771;0,25;0;0;0;0;0;1;379186;2622733,81079753;6,91674748223175;434,713243347378;0,17419005968599;164837175,891919;946306443,599991;2495,62600834417;110298277,2915;0,143809642329716;0,0190239250911601;1;1;1;1
1100288;"ROLIM DE MOURA";"RO";"N";1992;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0
1100288;"ROLIM DE MOURA";"RO";"N";1996;0;0;0;NA;NA;NA;NA;0;NA;NA;0,0689400798191593;0,775000257368861;1,03803023624612;NA;NA;NA;NA;NA;NA;1;0;0;0;0;46703;NA;NA;48,2337364413392;0,106593681102544;2252660,19301986;21133149,4486318;452,500898199941;NA;NA;NA;NA;0;0;0
1100288;"ROLIM DE MOURA";"RO";"N";2000;0;0;0;"IVO NARCISO CASSOL";"12";"PDT";0;0;NA;0;0,0490886363602487;0,784318178050178;0,948440401722402;"PDT";0;0;0,714669156260941;0;0;0;1;0;0;0;43930;77134,7250104134;1,75585533827483;39,588135479501;0,0490260480547742;1739106,79161448;35473118,0794231;807,491875242958;1317877,274;0,102169578021989;0,0256602245846145;1;0;0;0
1100288;"ROLIM DE MOURA";"RO";"N";2004;0;0;0;"IVO NARCISO CASSOL";"25";"PFL";0;1;0,509940087795258;0;0,0626417888249616;0,953947141652799;1,00611618095714;"DEM";1;0;0,436872937849303;0,0909090909090909;0;0;0;1;0;0;43628;208768,591;4,78519737324654;67,9807076396711;0,0712693833029958;2965862,31290357;41614816,5656837;953,85570197313;1716287,109;0,0811737719003874;0,0138476615730073;0;0;0;0
1100288;"ROLIM DE MOURA";"RO";"N";2008;0;0;0;"MILENI CRISTINA BENETTI MOTA";"14";"PTB";0;1;3,69649505615234;0;0,0664365643693135;0,785559081258636;0,970117404667401;"PTB";0;0;0,556971330556236;0,2;0;0;0;0;1;0;49902;212902,931257047;4,2664208099284;283,6079896111;0,18880877386006;14152605,8975731;74957352,9250426;1502,0911571689;5911560,904;0,128938312486133;0,0220046082623483;0;0;0;0
