Munic_Id;year;MunicOP_OP;UF_Id;Munic_Id6;Munic_Nome;lag.pb;MunicOP_OP.Acum;population;MayorElecNumber;MayorParty;MayorName;ptwin;ChangeEffect2002;VictoryPTAfter2002;LeftParty;continuitypartpref;ContinuityMayor;MayorsVulnerability;legprefpower;MayorControlCouncil;CoalitionPref;LeftShare;BudgetPP;Investpp;InvestPer;taxrevenues;TransferDep;balsheetrev;YearDummies1996;YearDummies2000;YearDummies2004;YearDummies2008;YearDummies2012;YearDummies2016
2311405;2016;0;23;231140;QUIXERAMOBIM;0;0;77931;55;PSD;CIRILO ANTONIO PIMENTA LIMA;0;1;0;0;0;0;0,853912813970879;0,2;0;0,666666666666667;0,333333333333333;1926,64142294916;191,792040407644;0,0971349927087003;0,038822585185131;0,754059715956194;0,875050140122681;0;0;0;0;0;1
2311801;1992;0;23;231180;RUSSAS;0;0;47357;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2311801;1996;0;23;231180;RUSSAS;0;0;51889;;;;;;;;;;;;;;;475,796367802514;50,2867679943021;0,14414071151321;0,0400545838046335;0,889765437279847;1,17368010338056;1;0;0;0;0;0
2311801;2000;0;23;231180;RUSSAS;0;0;57244;12;PDT;RAIMUNDO WEBER DE ARAUJO;0;0;0;1;0;0;0,742654028436019;0,315789473684211;0;;0,315789473684211;614,496477173298;89,4424140484504;0,139670274289096;0,0490355194626728;0,849270517606299;1,00314680701434;0;1;0;0;0;0
2311801;2004;0;23;231180;RUSSAS;0;0;62837;41;PSD;RAIMUNDO WEBER DE ARA⁄JO;0;1;0;0;0;1;0,587346131768608;0,210526315789474;0;0,684210526315789;0,105263157894737;770,630532394357;111,342774078682;0,141619737494228;0,0377523464844279;0,892393203924486;1,00359632166353;0;0;1;0;0;0
2311801;2008;0;23;231180;RUSSAS;0;0;67023;27;PSDC;RAIMUNDO CORDEIRO DE FREITAS;0;1;0;0;0;0;0,788166119292298;0,1;0;0,1;;1074,14439777623;73,1827743748347;0,0724509438970177;0,0630795889427686;0,926027115666362;0,97317148006814;0;0;0;1;0;0
2311801;2012;0;23;231180;RUSSAS;0;0;71723;45;PSDB;RAIMUNDO CORDEIRO DE FREITAS;0;1;0;0;0;1;0,851639950678175;0,2;0;0,5;0,1;1604,6522908261;97,5583751911866;0,0686232109963717;0,0488756401868039;0,918582331087029;1,00147095601356;0;0;0;0;1;0
2311801;2016;0;23;231180;RUSSAS;0;0;75762;10;PRB;RAIMUNDO WEBER DE ARAUJO;0;1;0;0;0;0;0,883360212503558;0,133333333333333;0;0,266666666666667;0,2;1793,93037813162;102,56523629054;0,0567721046601101;0,0459335178661073;0,834233255766275;0,899545840584354;0;0;0;0;0;1
2312908;1992;0;23;231290;SOBRAL;0;0;129027;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2312908;1996;0;23;231290;SOBRAL;0;0;138230,5;;;;;;;;;;;;;;;378,79056496502;37,2133891269839;0,120810424878819;0,0417963226575352;0,902404360850158;1,01866680520769;1;0;0;0;0;0
2312908;2000;1;23;231290;SOBRAL;0;0;148346;45;PSDB;CID FERREIRA GOMES;0;0;0;0;0;0;0,400913351760606;0,380952380952381;0;;0,0952380952380952;1181,34362216882;276,425361068884;0,247069383801289;0,0306342568525308;0,774439937304746;0,99545521043659;0;1;0;0;0;0
2312908;2004;1;23;231290;SOBRAL;1;1;169532;23;PPS;CID FERREIRA GOMES;0;1;0;0;0;1;0,464653780886553;0,523809523809524;1;0,904761904761905;0,0952380952380952;1689,04009585149;356,719696881497;0,20760514323272;0,0447445838660756;0,826803150552878;1,06714412152736;0;0;1;0;0;0
2312908;2008;1;23;231290;SOBRAL;1;2;180046;23;PPS;JOS√â LE√îNIDAS DE MENEZES CRISTINO;0;1;0;0;1;0;0,634795811992929;0,5;1;0,833333333333333;0,166666666666667;2035,12378471349;282,869939015618;0,131648999716556;0,0531660665475037;0,865897146674893;1,00224394516903;0;0;0;1;0;0
2312908;2012;0;23;231290;SOBRAL;1;3;193134;40;PSB;JOS√â LE√îNIDAS DE MENEZES CRISTINO;0;1;0;1;0;1;0,33247168882324;0,5;1;1;0,5;2596,66472358917;257,592493100276;0,100871779299838;0,0621694348035702;0,880342500206854;0,992593995116853;0;0;0;0;1;0
2312908;2016;0;23;231290;SOBRAL;0;0;203682;13;PT;JOSE CLODOVEU DE ARRUDA COELHO NETO;1;1;1;1;0;0;0,848251138455576;0,0952380952380952;0;0,857142857142857;0,380952380952381;2540,99783854585;160,546313554431;0,0624814010062004;0,0696087420622607;0,807691324752039;0,869993303072334;0;0;0;0;0;1
2313302;1992;0;23;231330;TAU¡;0;0;51636;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2313302;1996;0;23;231330;TAU¡;0;0;51382;;;;;;;;;;;;;;;337,657052935007;22,8159982700041;0,118411798342581;0,0113160699964234;0,978643389845322;1,09541854914546;1;0;0;0;0;0
2313302;2000;0;23;231330;TAU¡;0;0;48950;12;PDT;JOAO ANTONIO DA LUZ;0;0;0;1;0;0;0,806388888888889;0;0;;0,0476190476190476;617,72451732854;81,1015125367477;0,126376454660861;0,0221884358459487;0,909870771068282;1,08395614594641;0;1;0;0;0;0
2313302;2004;0;23;231330;TAU¡;0;0;52260;15;PMDB;PATRÕCIA PEQUENO COSTA GOMES DE AGUIAR;0;1;0;0;0;0;0,690455082742317;0,285714285714286;0;0,476190476190476;0,0476190476190476;932,737293471657;146,401354922969;0,149849325398135;0,0361569428333701;0,835131141668932;1,01700898090192;0;0;1;0;0;0
2313302;2008;0;23;231330;TAU¡;0;0;56156;15;PMDB;PATRICIA PEQUENO COSTA GOMES DE AGUIAR;0;1;0;0;1;1;0,83514953384187;0,4;0;0,7;;1542,94820555888;257,795768338931;0,164541336794075;0,060486158914895;0,752941384667736;1,01358528503116;0;0;0;1;0;0
2313302;2012;0;23;231330;TAU¡;0;0;56307;15;PMDB;ODILON SILVEIRA AGUIAR;0;1;0;0;1;0;0,785241730279898;0,5;1;1;0,1;2007,09303504191;256,243779620473;0,122958676893664;0,060447113684609;0,830655021940417;1,01157943574496;0;0;0;0;1;0
2313302;2016;0;23;231330;TAU¡;0;0;57914;15;PMDB;PATRICIA PEQUENO COSTA GOMES DE AGUIAR;0;1;0;0;1;0;0,559572429788736;0,333333333333333;0;0,866666666666667;0,133333333333333;2216,82820024348;240,191837560267;0,105095565295641;0,0625128762164881;0,794762883509053;0,881740922164445;0;0;0;0;0;1
2313401;1992;0;23;231340;TIANGU¡;0;0;44764;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2313401;1996;0;23;231340;TIANGU¡;0;0;49132;;;;;;;;;;;;;;;464,687211312422;63,1450807599082;0,189497946506532;0,0127176839143736;0,973688199080696;1,16380201990547;1;0;0;0;0;0
2313401;2000;0;23;231340;TIANGU¡;0;0;54303;41;PSD;GILBERTO MOITA;0;0;0;0;0;0;0,693211690119066;0,421052631578947;0;;;642,143521889869;120,250162964752;0,176061755822316;0,0138241459601049;0,894267560624131;1,04979037810103;0;1;0;0;0;0
2313401;2004;0;23;231340;TIANGU¡;0;0;65285;45;PSDB;LUIZ MENEZES DE LIMA;0;1;0;0;0;0;0,845833930876237;0,315789473684211;0;0,473684210526316;0,0526315789473684;769,602945392247;121,115405213965;0,156755656254088;0,0351256803722644;0,919306449191296;0,953412026631667;0;0;1;0;0;0
2313401;2008;0;23;231340;TIANGU¡;0;0;67663;45;PSDB;LUIZ MENEZES DE LIMA;0;1;0;0;1;1;0,658912224017232;0,3;0;0,6;0,1;985,452801007369;129,449234231565;0,123691906669501;0,0338576422948349;0,907715955916774;0,904656510133893;0;0;0;1;0;0
2313401;2012;0;23;231340;TIANGU¡;0;0;70527;15;PMDB;NATALIA FELIX DA FROTA;0;1;0;0;0;0;0,852559163456247;0,2;0;0,6;0,2;1441,93415841122;189,595914447652;0,132553403962832;0,0390794615469279;0,983896478616699;0,954234365058295;0;0;0;0;1;0
2313401;2016;0;23;231340;TIANGU¡;0;0;74107;40;PSB;JEAN NUNES AZEVEDO;0;1;0;1;0;0;0,827070217917676;0;0;0,4;0,333333333333333;1764,58310619509;134,240165927469;0,074804832946024;0,0420034243419304;0,881995735238859;0,893214594135618;0;0;0;0;0;1
2400208;1992;0;24;240020;A«U;0;0;44393;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2400208;1996;0;24;240020;A«U;0;0;46649,5;;;;;;;;;;;;;;;351,872287316297;33,2693815178385;0,0961950665765886;0,0418089750386021;0,854169864167329;0,969448069288166;1;0;0;0;0;0
2400208;2000;0;24;240020;A«U;0;0;46746;25;PFL;JOSE MARIA DE MACEDO MEDEIROS;0;0;0;0;0;0;0,965118272197463;0,538461538461538;1;;;591,188765879582;83,0545060356162;0,140095097969348;0,0349191964389697;0,825364949033564;0,927115764194005;0;1;0;0;0;0
2400208;2004;0;24;240020;A«U;0;0;50117;11;PPB;RONALDO DA FONSECA SOARES;0;1;0;0;0;0;0,618389423076923;0,153846153846154;0;0,461538461538462;0,230769230769231;817,860810043757;86,4751265526852;0,106224607803016;0,0595011233161626;0,947614025927236;1,00202923134805;0;0;1;0;0;0
2400208;2008;0;24;240020;A«U;0;0;52824;11;PP;RONALDO DA FONSECA SOARES;0;1;0;0;1;1;0,932735788113695;0,2;0;0,5;0,2;1134,24634786988;98,0234018232362;0,0879576125372938;0,109483044066717;0,935569580767554;1,02708498482148;0;0;0;1;0;0
2400208;2012;0;24;240020;A«U;0;0;54031;11;PP;IVAN LOPES JUNIOR;0;1;0;0;1;0;0,768271147821134;0,3;0;0,6;0,1;1679,54044492628;190,265636851766;0,110257302055229;0,110018832736084;0,909155180637508;1,00746931928393;0;0;0;0;1;0
2400208;2016;0;24;240020;A«U;0;0;57743;11;PP;IVAN LOPES JUNIOR;0;1;0;0;1;1;0,524040862656073;0,4;0;0,8;0,133333333333333;1529,59821756704;71,0925364712606;0,0466013111586069;0,106847593722062;0,784979623568349;0,845711738740338;0;0;0;0;0;1
2402006;1992;0;24;240200;CAIC”;0;0;51651;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2402006;1996;0;24;240200;CAIC”;0;0;54031;;;;;;;;;;;;;;;570,564519885999;58,4434483839495;0,105364086537934;0,0942137485621436;0,857009039795324;1,08092097836973;1;0;0;0;0;0
2402006;2000;0;24;240200;CAIC”;0;0;53973;22;PL;VIVALDO SILVINO DA COSTA;0;0;0;0;0;0;0,800441361916772;0,214285714285714;0;;0,0714285714285714;792,506487368723;58,5564891378386;0,0733979220726607;0,094284838848643;0,864674965978948;1,05755359915166;0;1;0;0;0;0
