"Munic_Id";"MunicOp_Ano";"MunicOP_OP"
1508159;2012;0
1508159;2016;0
1508308;1992;0
1508308;1996;0
1508308;2000;0
1508308;2004;0
1508308;2008;0
1508308;2012;0
1508308;2016;0
1600303;1992;0
1600303;1996;0
1600303;2000;0
1600303;2004;1
1600303;2008;0
1600303;2012;0
1600303;2016;0
1600600;1992;0
1600600;1996;0
1600600;2000;0
1600600;2004;0
1600600;2008;0
1600600;2012;0
1600600;2016;0
1702109;1992;0
1702109;1996;0
1702109;2000;0
1702109;2004;0
1702109;2008;0
1702109;2012;0
1702109;2016;0
1709500;1992;0
1709500;1996;0
1709500;2000;0
1709500;2004;0
1709500;2008;0
1709500;2012;0
1709500;2016;0
1721000;1992;0
1721000;1996;0
1721000;2000;0
1721000;2004;0
1721000;2008;0
1721000;2012;0
1721000;2016;0
2100055;1992;0
2100055;1996;0
2100055;2000;0
2100055;2004;0
2100055;2008;0
2100055;2012;0
2100055;2016;0
2101202;1992;0
2101202;1996;0
2101202;2000;0
2101202;2004;0
2101202;2008;0
2101202;2012;0
2101202;2016;0
2101400;1992;0
2101400;1996;0
2101400;2000;0
2101400;2004;0
2101400;2008;0
2101400;2012;0
2101400;2016;0
2101608;1992;0
2101608;1996;0
2101608;2000;0
2101608;2004;0
2101608;2008;0
2101608;2012;0
2101608;2016;0
2102325;1992;0
2102325;1996;0
2102325;2000;0
2102325;2004;0
2102325;2008;0
2102325;2012;0
2102325;2016;0
2103000;1992;0
2103000;1996;0
2103000;2000;0
2103000;2004;1
2103000;2008;0
2103000;2012;0
2103000;2016;0
2103208;1992;0
2103208;1996;0
2103208;2000;0
2103208;2004;0
2103208;2008;0
2103208;2012;0
2103208;2016;0
2103307;1992;0
2103307;1996;0
2103307;2000;0
2103307;2004;1
2103307;2008;0
2103307;2012;0
2103307;2016;0
2103604;1992;0
2103604;1996;0
2103604;2000;0
2103604;2004;0
2103604;2008;0
2103604;2012;0
2103604;2016;0
2104800;1992;0
2104800;1996;0
2104800;2000;0
2104800;2004;0
2104800;2008;0
2104800;2012;0
2104800;2016;0
2105302;1992;0
2105302;1996;0
2105302;2000;0
2105302;2004;1
2105302;2008;0
2105302;2012;0
2105302;2016;0
2105401;1992;0
2105401;1996;0
2105401;2000;0
2105401;2004;0
2105401;2008;0
2105401;2012;0
2105401;2016;0
2107506;1992;0
2107506;1996;0
2107506;2000;0
2107506;2004;1
2107506;2008;0
2107506;2012;0
2107506;2016;0
2108603;1992;0
2108603;1996;0
2108603;2000;0
2108603;2004;0
2108603;2008;0
2108603;2012;0
2108603;2016;0
2109908;1992;0
2109908;1996;0
2109908;2000;0
2109908;2004;0
2109908;2008;0
2109908;2012;0
2109908;2016;0
2110005;1992;0
2110005;1996;0
2110005;2000;0
2110005;2004;0
2110005;2008;0
2110005;2012;0
2110005;2016;0
2111201;1992;0
2111201;1996;0
2111201;2000;0
2111201;2004;0
2111201;2008;0
2111201;2012;0
2111201;2016;0
2111300;1992;0
2111300;1996;0
2111300;2000;1
2111300;2004;1
2111300;2008;1
2111300;2012;1
2111300;2016;0
2112209;1992;0
2112209;1996;0
2112209;2000;0
2112209;2004;1
2112209;2008;0
2112209;2012;0
2112209;2016;0
2112803;1992;0
2112803;1996;0
2112803;2000;0
2112803;2004;0
2112803;2008;1
2112803;2012;0
2112803;2016;0
2114007;1992;0
2114007;1996;0
2114007;2000;0
2114007;2004;0
2114007;2008;0
2114007;2012;0
2114007;2016;0
2202208;1992;0
2202208;1996;0
2202208;2000;0
2202208;2004;0
2202208;2008;0
2202208;2012;1
2202208;2016;0
2203909;1992;0
2203909;1996;0
2203909;2000;0
2203909;2004;0
2203909;2008;0
2203909;2012;0
2203909;2016;0
2207702;1992;0
2207702;1996;0
2207702;2000;0
2207702;2004;0
2207702;2008;1
2207702;2012;1
2207702;2016;0
2208007;1992;0
2208007;1996;0
2208007;2000;0
2208007;2004;0
2208007;2008;0
2208007;2012;0
2208007;2016;0
2208403;1992;0
2208403;1996;0
2208403;2000;0
2208403;2004;0
2208403;2008;1
2208403;2012;0
2208403;2016;0
2211001;1992;1
2211001;1996;1
2211001;2000;1
2211001;2004;1
2211001;2008;1
2211001;2012;1
2211001;2016;1
2300200;1992;0
2300200;1996;0
2300200;2000;0
2300200;2004;0
2300200;2008;0
2300200;2012;0
2300200;2016;0
2300309;1992;0
2300309;1996;0
2300309;2000;0
2300309;2004;0
2300309;2008;0
2300309;2012;0
2300309;2016;0
2301000;1992;0
2301000;1996;0
2301000;2000;0
2301000;2004;0
2301000;2008;0
2301000;2012;0
2301000;2016;0
2301109;1992;0
2301109;1996;0
2301109;2000;0
